state_abbv,county,state_name,country,county_state,Date,Confirmed,Deaths,Recovered
CO,Dolores,Colorado,US,"Dolores, CO",3/29/2020,0,0,0
CO,Douglas,Colorado,US,"Douglas, CO",3/29/2020,102,0,0
CO,Eagle,Colorado,US,"Eagle, CO",3/29/2020,187,0,0
CO,El Paso,Colorado,US,"El Paso, CO",3/29/2020,214,3,0
CO,Elbert,Colorado,US,"Elbert, CO",3/29/2020,3,0,0
CO,Fremont,Colorado,US,"Fremont, CO",3/29/2020,1,0,0
CO,Garfield,Colorado,US,"Garfield, CO",3/29/2020,25,0,0
CO,Gilpin,Colorado,US,"Gilpin, CO",3/29/2020,0,0,0
CO,Grand,Colorado,US,"Grand, CO",3/29/2020,2,0,0
CO,Gunnison,Colorado,US,"Gunnison, CO",3/29/2020,79,0,0
CO,Hinsdale,Colorado,US,"Hinsdale, CO",3/29/2020,1,0,0
CO,Huerfano,Colorado,US,"Huerfano, CO",3/29/2020,1,0,0
CO,Jackson,Colorado,US,"Jackson, CO",3/29/2020,0,0,0
CO,Jefferson,Colorado,US,"Jefferson, CO",3/29/2020,213,0,0
CO,Kiowa,Colorado,US,"Kiowa, CO",3/29/2020,0,0,0
CO,Kit Carson,Colorado,US,"Kit Carson, CO",3/29/2020,1,0,0
CO,La Plata,Colorado,US,"La Plata, CO",3/29/2020,21,0,0
CO,Lake,Colorado,US,"Lake, CO",3/29/2020,0,0,0
CO,Larimer,Colorado,US,"Larimer, CO",3/29/2020,84,0,0
CO,Las Animas,Colorado,US,"Las Animas, CO",3/29/2020,0,0,0
CO,Lincoln,Colorado,US,"Lincoln, CO",3/29/2020,1,0,0
CO,Logan,Colorado,US,"Logan, CO",3/29/2020,5,0,0
CO,Mesa,Colorado,US,"Mesa, CO",3/29/2020,11,0,0
CO,Mineral,Colorado,US,"Mineral, CO",3/29/2020,1,0,0
CO,Moffat,Colorado,US,"Moffat, CO",3/29/2020,2,0,0
CO,Montezuma,Colorado,US,"Montezuma, CO",3/29/2020,1,0,0
CO,Montrose,Colorado,US,"Montrose, CO",3/29/2020,8,0,0
CO,Morgan,Colorado,US,"Morgan, CO",3/29/2020,5,0,0
CO,Otero,Colorado,US,"Otero, CO",3/29/2020,3,0,0
CO,Ouray,Colorado,US,"Ouray, CO",3/29/2020,0,0,0
CO,Park,Colorado,US,"Park, CO",3/29/2020,3,0,0
CO,Phillips,Colorado,US,"Phillips, CO",3/29/2020,0,0,0
CO,Pitkin,Colorado,US,"Pitkin, CO",3/29/2020,27,0,0
CO,Prowers,Colorado,US,"Prowers, CO",3/29/2020,0,0,0
CO,Pueblo,Colorado,US,"Pueblo, CO",3/29/2020,10,0,0
CO,Rio Blanco,Colorado,US,"Rio Blanco, CO",3/29/2020,0,0,0
CO,Rio Grande,Colorado,US,"Rio Grande, CO",3/29/2020,3,0,0
CO,Routt,Colorado,US,"Routt, CO",3/29/2020,16,0,0
CO,Saguache,Colorado,US,"Saguache, CO",3/29/2020,0,0,0
CO,San Juan,Colorado,US,"San Juan, CO",3/29/2020,0,0,0
CO,San Miguel,Colorado,US,"San Miguel, CO",3/29/2020,1,0,0
CO,Sedgwick,Colorado,US,"Sedgwick, CO",3/29/2020,0,0,0
CO,Summit,Colorado,US,"Summit, CO",3/29/2020,11,0,0
CO,Teller,Colorado,US,"Teller, CO",3/29/2020,7,0,0
CO,Washington,Colorado,US,"Washington, CO",3/29/2020,1,0,0
CO,Weld,Colorado,US,"Weld, CO",3/29/2020,180,0,0
CO,Yuma,Colorado,US,"Yuma, CO",3/29/2020,2,0,0
Connecticut,Aaall,Connecticut,US,Connecticut,3/29/2020,1993,34,0
CT,Fairfield,Connecticut,US,"Fairfield, CT",3/29/2020,1245,21,0
CT,Hartford,Connecticut,US,"Hartford, CT",3/29/2020,276,2,0
CT,Litchfield,Connecticut,US,"Litchfield, CT",3/29/2020,87,0,0
CT,Middlesex,Connecticut,US,"Middlesex, CT",3/29/2020,38,1,0
CT,New Haven,Connecticut,US,"New Haven, CT",3/29/2020,280,6,0
CT,New London,Connecticut,US,"New London, CT",3/29/2020,20,0,0
CT,Tolland,Connecticut,US,"Tolland, CT",3/29/2020,40,4,0
CT,Windham,Connecticut,US,"Windham, CT",3/29/2020,7,0,0
Delaware,Aaall,Delaware,US,Delaware,3/29/2020,232,0,0
DE,Kent,Delaware,US,"Kent, DE",3/29/2020,25,0,0
DE,New Castle,Delaware,US,"New Castle, DE",3/29/2020,141,0,0
DE,Sussex,Delaware,US,"Sussex, DE",3/29/2020,66,0,0
District of Columbia,Aaall,District of Columbia,US,District of Columbia,3/29/2020,304,5,0
DC,District of Columbia,District of Columbia,US,"District of Columbia, DC",3/29/2020,304,5,0
Florida,Aaall,Florida,US,Florida,3/29/2020,4246,56,0
FL,Alachua,Florida,US,"Alachua, FL",3/29/2020,66,0,0
FL,Baker,Florida,US,"Baker, FL",3/29/2020,7,0,0
FL,Bay,Florida,US,"Bay, FL",3/29/2020,5,0,0
FL,Bradford,Florida,US,"Bradford, FL",3/29/2020,1,0,0
FL,Brevard,Florida,US,"Brevard, FL",3/29/2020,26,0,0
FL,Broward,Florida,US,"Broward, FL",3/29/2020,819,11,0
FL,Calhoun,Florida,US,"Calhoun, FL",3/29/2020,0,0,0
FL,Charlotte,Florida,US,"Charlotte, FL",3/29/2020,16,0,0
FL,Citrus,Florida,US,"Citrus, FL",3/29/2020,15,1,0
FL,Clay,Florida,US,"Clay, FL",3/29/2020,30,4,0
FL,Collier,Florida,US,"Collier, FL",3/29/2020,83,0,0
FL,Columbia,Florida,US,"Columbia, FL",3/29/2020,3,0,0
FL,DeSoto,Florida,US,"DeSoto, FL",3/29/2020,7,0,0
FL,Dixie,Florida,US,"Dixie, FL",3/29/2020,0,0,0
FL,Duval,Florida,US,"Duval, FL",3/29/2020,118,3,0
FL,Escambia,Florida,US,"Escambia, FL",3/29/2020,28,0,0
FL,Flagler,Florida,US,"Flagler, FL",3/29/2020,12,0,0
FL,Franklin,Florida,US,"Franklin, FL",3/29/2020,0,0,0
FL,Gadsden,Florida,US,"Gadsden, FL",3/29/2020,0,0,0
FL,Gilchrist,Florida,US,"Gilchrist, FL",3/29/2020,0,0,0
