"state_abbv","county","state_name","country","county_state","Date","Confirmed","Deaths","Recovered"
"CA","Marin","California","US","Marin, CA",2020-03-21,38,0,0
"CA","Mariposa","California","US","Mariposa, CA",2020-03-21,0,0,0
"CA","Mendocino","California","US","Mendocino, CA",2020-03-21,1,0,0
"CA","Merced","California","US","Merced, CA",2020-03-21,0,0,0
"CA","Modoc","California","US","Modoc, CA",2020-03-21,0,0,0
"CA","Mono","California","US","Mono, CA",2020-03-21,1,0,0
"CA","Monterey","California","US","Monterey, CA",2020-03-21,2,0,0
"CA","Napa","California","US","Napa, CA",2020-03-21,1,0,0
"CA","Nevada","California","US","Nevada, CA",2020-03-21,1,0,0
"CA","Orange","California","US","Orange, CA",2020-03-21,78,0,0
"CA","Placer","California","US","Placer, CA",2020-03-21,12,1,0
"CA","Plumas","California","US","Plumas, CA",2020-03-21,0,0,0
"CA","Riverside","California","US","Riverside, CA",2020-03-21,30,5,0
"CA","Sacramento","California","US","Sacramento, CA",2020-03-21,53,3,0
"CA","San Benito","California","US","San Benito, CA",2020-03-21,5,1,2
"CA","San Bernardino","California","US","San Bernardino, CA",2020-03-21,10,0,0
"CA","San Diego","California","US","San Diego, CA",2020-03-21,110,0,0
"CA","San Francisco","California","US","San Francisco, CA",2020-03-21,84,0,0
"CA","San Joaquin","California","US","San Joaquin, CA",2020-03-21,31,2,0
"CA","San Luis Obispo","California","US","San Luis Obispo, CA",2020-03-21,13,0,0
"CA","San Mateo","California","US","San Mateo, CA",2020-03-21,110,1,0
"CA","Santa Barbara","California","US","Santa Barbara, CA",2020-03-21,13,0,0
"CA","Santa Clara","California","US","Santa Clara, CA",2020-03-21,263,8,0
"CA","Santa Cruz","California","US","Santa Cruz, CA",2020-03-21,15,0,0
"CA","Shasta","California","US","Shasta, CA",2020-03-21,1,0,0
"CA","Sierra","California","US","Sierra, CA",2020-03-21,0,0,0
"CA","Siskiyou","California","US","Siskiyou, CA",2020-03-21,0,0,0
"CA","Solano","California","US","Solano, CA",2020-03-21,15,0,0
"CA","Sonoma","California","US","Sonoma, CA",2020-03-21,21,0,0
"CA","Stanislaus","California","US","Stanislaus, CA",2020-03-21,5,0,0
"CA","Sutter","California","US","Sutter, CA",2020-03-21,0,0,0
"CA","Tehama","California","US","Tehama, CA",2020-03-21,0,0,0
"CA","Trinity","California","US","Trinity, CA",2020-03-21,0,0,0
"CA","Tulare","California","US","Tulare, CA",2020-03-21,11,0,0
"CA","Tuolumne","California","US","Tuolumne, CA",2020-03-21,0,0,0
"CA","Ventura","California","US","Ventura, CA",2020-03-21,19,0,0
"CA","Yolo","California","US","Yolo, CA",2020-03-21,5,0,0
"CA","Yuba","California","US","Yuba, CA",2020-03-21,0,0,0
"Colorado","Aaall","Colorado","US","Colorado",2020-03-21,475,5,0
"CO","Adams","Colorado","US","Adams, CO",2020-03-21,14,0,0
"CO","Alamosa","Colorado","US","Alamosa, CO",2020-03-21,0,0,0
"CO","Arapahoe","Colorado","US","Arapahoe, CO",2020-03-21,40,0,0
"CO","Archuleta","Colorado","US","Archuleta, CO",2020-03-21,0,0,0
"CO","Baca","Colorado","US","Baca, CO",2020-03-21,0,0,0
"CO","Bent","Colorado","US","Bent, CO",2020-03-21,0,0,0
"CO","Boulder","Colorado","US","Boulder, CO",2020-03-21,30,0,0
"CO","Broomfield","Colorado","US","Broomfield, CO",2020-03-21,1,0,0
"CO","Chaffee","Colorado","US","Chaffee, CO",2020-03-21,2,0,0
"CO","Cheyenne","Colorado","US","Cheyenne, CO",2020-03-21,0,0,0
"CO","Clear Creek","Colorado","US","Clear Creek, CO",2020-03-21,3,0,0
"CO","Conejos","Colorado","US","Conejos, CO",2020-03-21,0,0,0
"CO","Costilla","Colorado","US","Costilla, CO",2020-03-21,0,0,0
"CO","Crowley","Colorado","US","Crowley, CO",2020-03-21,1,1,0
"CO","Custer","Colorado","US","Custer, CO",2020-03-21,0,0,0
